time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2026-08-07 00:30:00,27.5,25.7,90,,,241,3.7,,999.6,,4
2026-08-07 01:30:00,27.4,25.8,91,,,237,3.7,,999.1,,4
2026-08-07 02:30:00,27.2,25.8,92,,,233,3.7,,998.7,,4
2026-08-07 03:30:00,27.1,25.9,93,,,234,3.7,,998.5,,4
2026-08-07 04:30:00,27,25.8,93,,,235,3.7,,998.2,,4
2026-08-07 05:30:00,27,25.8,93,,,236,1.8,,998,,4
2026-08-07 06:30:00,27.6,25.8,90,,,235,3.7,,998.3,,4
2026-08-07 07:30:00,28.3,25.9,87,,,234,5.5,,998.7,,4
2026-08-07 08:30:00,29,26,84,,,233,5.5,,999.1,,4
2026-08-07 09:30:00,29.9,26.3,81,,,216,5.5,,999.1,,3
2026-08-07 10:30:00,30.9,26.6,78,,,192,5.5,,999.2,,3
2026-08-07 11:30:00,31.9,26.9,75,,,166,7.4,,999.2,,3
2026-08-07 12:30:00,32.2,27,74,,,158,5.5,,998.5,,3
2026-08-07 13:30:00,32.6,26.9,72,,,153,5.5,,997.7,,3
2026-08-07 14:30:00,32.9,26.7,70,,,149,5.5,,997,,3
2026-08-07 15:30:00,32.5,26.3,70,,,170,7.4,,997.3,,3
2026-08-07 16:30:00,32.1,26.4,72,,,182,5.5,,996.9,,3
2026-08-07 17:30:00,31.8,26.3,73,,,196,5.5,,996.4,,3
2026-08-07 18:30:00,31.2,26,74,,,199,5.5,,997.2,,3
2026-08-07 19:30:00,30.5,26,77,,,202,5.5,,997.9,,3
2026-08-07 20:30:00,29.9,25.9,79,,,204,5.5,,998.7,,3
2026-08-07 21:30:00,29.7,25.9,80,,,208,5.5,,999,,7
2026-08-07 22:30:00,29.5,25.7,80,,,214,5.5,,999.4,,7
2026-08-07 23:30:00,29.2,25.8,82,,,221,5.5,,999.7,,7
2026-08-08 00:30:00,29,25.8,83,,,219,5.5,,999.4,,7
2026-08-08 01:30:00,28.7,25.9,85,,,215,3.7,,999.1,,7
2026-08-08 02:30:00,28.4,25.8,86,,,210,3.7,,998.8,,7
2026-08-08 03:30:00,28.2,25.8,87,,,212,3.7,,998.7,,3
2026-08-08 04:30:00,28,25.8,88,,,212,3.7,,998.7,,3
2026-08-08 05:30:00,27.7,25.7,89,,,213,3.7,,998.6,,3
2026-08-08 06:30:00,28.4,25.8,86,,,210,3.7,,999.1,,3
2026-08-08 07:30:00,29,25.8,83,,,207,3.7,,999.6,,3
2026-08-08 08:30:00,29.7,26.1,81,,,203,5.5,,1000,,3
2026-08-08 09:30:00,30.7,26.2,77,,,178,5.5,,1000.1,,3
2026-08-08 10:30:00,31.8,26.6,74,,,152,5.5,,1000.2,,3
2026-08-08 11:30:00,32.8,26.8,71,,,131,5.5,,1000.3,,3
