time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2026-08-07 00:30:00,26.1,25.4,96,0,,172,7.6,,999.6,,3
2026-08-07 01:30:00,26,25.3,96,0.2,,167,7.2,,998.9,,7
2026-08-07 02:30:00,26.1,25.2,95,0,,170,6.8,,998.5,,3
2026-08-07 03:30:00,26,25.1,95,0.2,,158,7.9,,998.2,,7
2026-08-07 04:30:00,26,25,94,0.1,,176,10.4,,998.2,,7
2026-08-07 05:30:00,25.8,24.8,94,0.3,,166,9.7,,998.4,,8
2026-08-07 06:30:00,25.8,24.9,95,0,,152,10.8,,999,,3
2026-08-07 07:30:00,26.5,24.9,91,0,,160,12.6,,999.5,,3
2026-08-07 08:30:00,27.8,24.8,84,0.1,,170,13.7,,999.8,,17
2026-08-07 09:30:00,29,25.2,80,0.2,,175,15.1,,1000,,17
2026-08-07 10:30:00,29.8,25.3,77,0,,185,14,,1000.4,,3
2026-08-07 11:30:00,30.8,24.9,71,0,,204,13,,1000.1,,3
2026-08-07 12:30:00,31.3,24.7,68,0,,213,10.1,,999.1,,3
2026-08-07 13:30:00,31.9,24.7,66,0,,195,8.6,,997.9,,2
2026-08-07 14:30:00,31.7,25,68,0.4,,196,9.4,,997.1,,17
2026-08-07 15:30:00,32.1,24.4,64,0,,195,9.7,,996.5,,3
2026-08-07 16:30:00,32.1,24.1,63,0,,201,9.4,,996.3,,2
2026-08-07 17:30:00,30.9,25.9,75,0,,137,12.2,,995.8,,2
2026-08-07 18:30:00,30.1,26.5,81,0,,135,8.6,,996.5,,3
2026-08-07 19:30:00,29.4,26.4,84,0,,152,10.1,,997.7,,3
2026-08-07 20:30:00,28,26.2,90,0.6,,131,9.4,,999.2,,17
2026-08-07 21:30:00,27.4,26.2,93,0.5,,108,9.4,,999.5,,17
2026-08-07 22:30:00,27.3,26.2,94,0,,135,7.6,,999.5,,2
2026-08-07 23:30:00,27.3,26.2,94,0,,126,15.1,,999.3,,3
2026-08-08 00:30:00,27,26.1,95,0,,129,12.2,,999.4,,3
2026-08-08 01:30:00,26.7,25.8,95,0.2,,153,10.1,,999,,17
2026-08-08 02:30:00,26.5,26,97,0,,140,10.1,,999.1,,3
2026-08-08 03:30:00,26.3,26,98,0,,130,9,,999,,3
2026-08-08 04:30:00,26.3,25.8,97,0,,117,8.3,,999.2,,3
2026-08-08 05:30:00,26.1,25.8,98,0,,114,9.4,,999.1,,3
2026-08-08 06:30:00,26.3,25.6,96,0,,110,9,,999.7,,3
